text	label
No llego nunca. Nunca llego el pedido y el vendedor pasa de todo no contestan	0
Todavía no ha llegado. No sé como es, porque debería haber llegado ayer día 9 de marzo, y hoy 10 por la noche sigo esperando que llegue el frontal. Y me habéis mandado el formulario de opinión. Pues de momento mala no ha cumplido con la fecha de entrega.	0
Guantes de baja calidad. Guantes cómodos, no lo niego, pero de mala calidad. Yo creo que en caso de caída no valdrian para mucho, dos meses de uso y se están rajando.	0
Muy Mala experiencia. Hasta hoy no he visto el producto. El pedido hace ya casi 1 mes. Y notifico que he usado PRIME para está compra.	0
Paquete perdido?. No puedo valorarla porque, después de casi una semana, aún no he recibido mi pedido. Pienso que amazon tendría que valorar las compañías de transporte con que trabaja, porque es indignante que pague mi cuota prime y nunca reciba mi pedido el día que toca	0
Fatal. Ha llegado con solo 1 tornillo valla estafa	0
Talla no corresponde. La talla es pequeña. Pone L o Xl pero es una M.	0
De momento nada ,falla. Lo estrene hoy cargado y se me enciende y apaga	0
Red de mala calidad.. Tenía buena pinta y buen precio, pero en menos de una semana ya tenía roturas en la red de protección. En dos semanas se rompió la cremallera de entrada. Lástima, la he tenido que devolver.	0
No vuelvo a comprar. Llegaron rotas hable con vendedor y me dijo de enviarme otras acepte y al poco desapareció el pedido . Menos mal que el importe pagado se devolvió.	0
Mal servicio.. Acabo de descubrir que el transportista me hace perdidas para justificar que intenta entregarme el paquete y como no puedo hacer nada, pues os planto una estrellita.	0
descripción correcta. tras dos semanas de uso se despega el plástico y no se puede ver la pantalla, confio que es defecto fabrica y le doy otra oportunidad y pido otro	0
Isa. Malísimo las intervenciones solo en chino. Y no noto absolutamente nada. No lo aconsejo para nada. Lo pedí por confusión	0
Solo ha funcionado 2 meses. En menos de 2 meses ha dejado de funcionar	0
Estafa de empresa. 2 meses esperando el pedido, me escribieron diciendo que me enviaban otro, otro mes más y sin saber nada, ahora intentando que me devuelvan el dinero y tampoco hay manera. No os aconsejo que compréis para esta empresa la verdad.	0
No sirven para protegerse del frio. Demasiado finas, parecen papel de fumar. No lo recomiendo para protegerse del frio	0
Se raja al 3° partido. Una pala que tiene máximo 4 partidos jugados por mi novia (ella es principiante) y ya de ha rajado por varios sitios. No merece la pena haberla comprado.	0
muy malos. Se rompieron el primer dia	0
Toni. Hola Una vez más me ha engañado la foto, he recibido 3 pulseras de reloj. Pésimo, estoy defraudado	0
No llegó. Podré valorar el traje de baño cuando lo reciba puesto qué sigo esperando	0
Una caca. Este producto se cae a trazos y ahora ni funciona, se lo regale a mi pareja hace menos de un año para que se fuera al trabajo y ahora ni funciona.	0
